reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
1253,21,1,大吉祥天女十二契一百八名無垢大乘經,Da Jixiang Tian Nu Shi Er Qi Yibai Ba Ming Wugou Dasheng Jing,Śrīmahādevīvyākaraṇasūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1284')",Korean Canon,http://tripitaka.cbeta.org/T21n1253,2016-10-09
1254,21,1,末利支提婆華鬘經,Molizhi Tipo Huaman Jing,Mārīcīdhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Tells of a dhāraṇī relating to the goddess Mārīcī, whose powers are able to help avoid misfortune and bring good fortune.","Sanskrit title and date 746-774 from Lancaster (2004, 'K 1377')",Korean Canon,http://tripitaka.cbeta.org/T21n1254,2016-10-09
1255A,21,1,佛說摩利支天菩薩陀羅尼經,Fo Shuo Mo Li Zhi Tian Pusa Tuoluoni Jing,Mārīcīdhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 1254.,A Taishō footnote for this text reads: ＜原＞麗本 Source: Korean canon.,Korean Canon,http://tripitaka.cbeta.org/T21n1255a,2016-10-09
1255B,21,1,佛說摩利支天經,Fo Shuo Mo Li Zhi Tian Jing,Mārīcīdhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 1254.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞明本, ＜甲＞黄檗版淨嚴等加筆本, 此經與麗本大異故別載之 Source: Ming Canon; 1. Ōbaku Canon with annotations by Jōgon. This version differs considerably from the Korean Canon.",Ming Canon,http://tripitaka.cbeta.org/T21n1255b,2016-10-09
1256,21,1,佛說摩利支天陀羅尼呪經,Fo Shuo Mo Li Zhi Tian Tuoluoni Zhou Jing,Mārīcīdhāraṇīsūtra,,,,,,,502-557,See T 1254.,"Sanskrit title and date 502-557 from Lancaster (2004, 'K 311')",Korean Canon,http://tripitaka.cbeta.org/T21n1256,2016-10-09
1257,21,7,佛說大摩里支菩薩經,Fo Shuo Da Mo Li Zhi Pusa Jing,Mārīcīdhāraṇīsūtra,天息災,譯,Tian Xi Zai,Translated,宋,Song,986-987,"In contrast to T 1254, this version gives greater detail on the iconography of Mārīcī as well as homa and other ritual elements.","Sanskrit title and date 986-987 from Lancaster (2004, 'K 1156')",Korean Canon,http://tripitaka.cbeta.org/T21n1257,2016-10-09
1258,21,1,摩利支菩薩略念誦法,Molizhi Pusa Lue Niansong Fa,Marichi Bodhisattva Short Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See 1257.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞保延三年寫高山寺藏本, ＜乙＞保安四年寫寶壽院藏本 Source: Buzan college Canon version, published Kyōhō era [1716-1736]; 1. Takayama Temple collection manuscript, third year of the Hōen era [1135-1141]; 2. Hojuin collection version, fourth year of the Hōan era [1120-1124].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1258,2016-10-09
1259,21,1,摩利支天一印法,Mo Li Zhi Tian Yi Yin Fa,Marichi Mudra Ritual,,,,,,,,Includes Siddham script for two mantras.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: 享保年間刊豊山大學藏本 Buzan college Canon version, published in the Kyōhō era [1716-1736].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1259,2016-10-09
1260,21,1,大藥叉女歡喜母并愛子成就法,Da Yaochanu Huanxi Mu Bing Ai Zi Chengjiu Fa ,Hariti and Beloved Children Accomplishment Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,,A ritual text relating to the worship of Hārītī.,"This text does appear in the descriptive catalog of the Korean Canon by Lancaster (2004, 'K 1348'). A Taisho footnote reads: ＜原＞麗本, ＜甲＞卅帖策子第十九, ＜乙＞黄檗版淨嚴等加筆本, 此經宋元二本倶欠 Source: Korean canon; 1. Sanjujo sakushi, sheet 19; 2. Ōbaku Canon with annotations by Jōgon. It lacks the detail of the Song and Yuan versions.",Korean Canon,http://tripitaka.cbeta.org/T21n1260,2016-10-09
1261,21,1,訶利帝母真言經,He Li Di Mu Zhenyan Jing ,Hariti Mantra Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 1260.,"Date 720-774 from Lancaster (2004, 'K 1306')",Korean Canon,http://tripitaka.cbeta.org/T21n1261,2016-10-09
1262,21,1,佛說鬼子母經,Fo Shuo Guizi Mu Jing ,Hariti Sutra,失,譯,Unknown,Translated,,,265-317,See T 1260.,"Date 265-317 from Lancaster (2004, 'K 875')",Korean Canon,http://tripitaka.cbeta.org/T21n1262,2016-10-09
1263,21,1,氷揭羅天童子經,Bingjieluo Tian Tongzi Jing ,Pingala Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"Tells of Piṅgala, a the son of Hariti. Contains Siddham for five mantras.","This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞保延三年寫高山寺藏本, ＜甲＞高山寺藏古寫本, ＜乙＞寶壽院藏古寫本, ＜丙＞建長八年寫東寺三密藏本, ＜丁＞黄檗版淨嚴等加筆本 Source: Takayama Temple collection edition, third year of the Hōen era [1135-1141]; 1. Takayama Temple collection old manuscript; 2. Tō-ji Sanmitsu Canon version, ninth year of the Kenchō era [1249-1256]; 3. Ōbaku Canon with annotations by Jōgon.",Takayama Temple,http://tripitaka.cbeta.org/T21n1263,2016-10-09
1264A,21,1,觀自在菩薩化身蘘麌哩曳童女銷伏毒害陀羅尼經,Guanzizai Pusa Huashen Rang Yu Li Ye Tong Nu Xiao Fu Duhai Tuoluoni Jing,Jāṅgulīnāmavidyā,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Avalokitesvara bodhisattva manifests as a young girl to teach a mantra that can dispel poison.,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1272')",Korean Canon,http://tripitaka.cbeta.org/T21n1264a,2016-10-09
1264B,21,1,佛說穰麌梨童女經,Fo Shuo Rang Yu Li Tong Nu Jing,Jāṅgulīnāmavidyā,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 1264A.,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1272')",Korean Canon,http://tripitaka.cbeta.org/T21n1264b,2016-10-09
1265,21,1,佛說常瞿利毒女陀羅尼呪經,Fo Shuo Chang Ju Li Du Nu Tuoluoni Zhou Jing ,"Dhāraṇī Sūtra of Jāṅgulī, the Girl able to Dispel Poison",瞿多,譯,Ju Duo,Translated,唐,Tang,618-907,See 1264A. This version also includes images of talismans for treating poison and dispelling demons and features on the palm of the hand.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞仁平二年寫石山寺藏本 Source: Ishiyama-dera collection manuscript, second year of the Ninpei era [1151-1154].",Ishiyama-dera,http://tripitaka.cbeta.org/T21n1265,2016-10-09
1266,21,1,大聖天歡喜雙身毘那夜迦法,Da Sheng Tian Huanxi Shuang Shen Pinayejia Fa,Ritual of the Dual-Bodied Vinaayaka,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Describes a ritual for a two-bodied form of Gaṇeśa, including mantras, the form of the image, mudras, and items offered.","Date 746-774 from Lancaster (2004, 'K 1378')",Korean Canon,http://tripitaka.cbeta.org/T21n1266,2016-10-09
1267,21,1,使呪法經,Shi Zhou Fa Jing ,Sutra of the Mantras and Rituals of the Gana,菩提留支,譯,Bodhiruci,Translated,唐,Tang,618-907,"A text connected with the deity Vināyaka, a form of Gaṇeśa. Includes Siddham script for the mantras.","This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞黄檗版淨嚴等加筆本, ＜甲＞高山寺藏古寫本 Source: Ōbaku Canon version with annotations by Jōgon; 1. Takayama Temple collection old manuscript.",Ōbaku Canon,http://tripitaka.cbeta.org/T21n1267,2016-10-09
1268,21,1,大使呪法經,Da Shi Zhou Fa Jing ,Great Sutra of the Mantras and Rituals of the Gana,菩提留支,譯,Bodhiruci,Translated,唐,Tang,618-907,An extended vesion of T 1267.,This text does not appear in the Korean canon. The Taishō footnote is not legible in the digitized SAT version. The scanned image indicates that the source of the text is the 豊山大學藏 Buzan college Canon.,Buzan college Canon,http://tripitaka.cbeta.org/T21n1268,2016-10-09
1269,21,1,佛說金色迦那鉢底陀羅尼經,Fo Shuo Jinse Jia Na Bo Di Tuoluoni Jing ,The Golden Vināyaka Dhāraṇī Sūtra,菩提留支,譯,Bodhiruci,Translated,唐,Tang,618-907,One of a group of texts on Gaṇeśa (T 1267 - 1275),"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本, ＜甲＞高山寺藏古寫本, ＜乙＞保延元年寫東寺三密藏本 Source: Buzan college Canon version, published in the Kyōhō era [1716-1736]; 1. Takayama Temple collection old manuscript; 2. Tō-ji Sanmitsu Canon version, Hōen era [1135-1141].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1269,2016-10-09
1270,21,1,大聖歡喜雙身大自在天毘那夜迦王歸依念誦供養法,Da Sheng Huanxi Shuang Shen Dazizaitian Pinayejia Wang Guiyi Niansong Gongyang Fa ,"Liturgy, Refuge, and Offering Ritual of King Vinayaka, the Dual-Bodied Mahasvara",善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,An esoteric ritual associated with the deity Gaṇeśa to avoid misfortune and gain wealth.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享和二年刊長谷寺藏本 Source: Hase-dera Canon version, published second year of the Kyōwa era [1801-1804].",Hase-dera,http://tripitaka.cbeta.org/T21n1270,2016-10-09
1271,21,1,摩訶毘盧遮那如來定惠均等入三昧耶身雙身大聖歡喜天菩薩修行祕密法儀軌,Mohe Piluzhena Rulai Ding Hui Jundeng Ru Sanmeiye Shen Shuang Shen Da Sheng Huanxi Tian Pusa Xiuxing Mimi Fa Yi Gui ,,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Esoteric Ritual on the Practice of the Wisdom Meditation of Mahavairocana Tathagata and Dual-Bodied Vinayaka Bodhisattva,One of a group of texts on Gaṇeśa (T 1267 - 1275).,Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1271,2016-10-09
1272,21,4,金剛薩埵說頻那夜迦天成就儀軌經,Jingang Saduo Shuo Pin Na Ye Jia Tian Chengjiu Yi Gui Jing ,Vajrasattva tells of Vinayaka Accomplishment Ritual Sutra,法天,譯,Fa Tian,Translated,宋,Song,989-999,One of a group of texts on Gaṇeśa (T 1267 - 1275).,"Date 989-999 from Lancaster (2004, 'K 1209')",Korean Canon,http://tripitaka.cbeta.org/T21n1272,2016-10-09
1273,21,1,毘那夜迦誐那鉢底瑜伽悉地品祕要,Pinayejia Enabodi Yujia Xidi Pin Mi Yao,Esoteric Essentials of the Yoga-Siddhi of the Vinayaka Ganapati,含光,記,Han Guang,Recorded,唐,Tang,618-907,One of a group of texts on Gaṇeśa (T 1267 - 1275); includes Siddham script for mantras.,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享和二年刊長谷寺藏本, ＜甲＞長寛三年刊高山寺藏本 Source: Hase-dera Canon version, published second year of the Kyōwa era [1801-1804]; 1. Takayama Temple Canon version, published in the third year of the Chōkan era [1163-1165].",Hase-dera,http://tripitaka.cbeta.org/T21n1273,2016-10-09
1274,21,1,大聖歡喜雙身毘那夜迦天形像品儀軌,Da Sheng Huanxi Shuang Shen Pinayejia Tian Xingxiang Pin Yi Gui ,Ritual of the Image of the Dual-Bodied Deity Vinayaka,憬瑟,撰,Jing Se,Compiled,唐,Tang,618-907,One of a group of texts on Gaṇeśa (T 1267 - 1275).,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享和二年刊長谷寺藏本, ＜甲＞足利時代寫仁和寺藏本 Source: Hase-dera Canon version, published in the second year of the Kyōwa era [1801-1804]; 1. Ninna-ji collection manuscript, Ashikaga period [1338-1573].",Hase-dera,http://tripitaka.cbeta.org/T21n1274,2016-10-09
1275,21,1,聖歡喜天式法,Sheng Huanxi Tian Shi Fa ,Ganesa Ritual,般若惹羯羅,譯,Prajñācakra,Translated,唐,Tang,618-907,One of a group of texts on Gaṇeśa (T 1267 - 1275).,This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞東寺寶菩提院三密藏藏本 Source: Tō-ji Hōbodai-in Sanmitsu Canon version.,Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1275,2016-10-09
1276,21,1,文殊師利菩薩根本大教王經金翅鳥王品,Wenshushili Genben Da Jiao Wang Jing Jin Chi Niao Wang Pin,Garuḍapaṭalaparivarta,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,A tantra in the 諸天等儀軌類 deva ritual manual group. (1244–1330).,"Sanskrit title and date 746-774 from Lancaster (2004, 'K 1352')",Korean Canon,http://tripitaka.cbeta.org/T21n1276,2016-10-09
1277,21,1,速疾立驗魔醯首羅天說阿尾奢法,Su Ji Li Yan Moxishouluo Tian Shuo Aweishe Fa ,The Āveśa Rite Explained by the God Maheśvara Which Swiftly Establishes Its Efficacy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"Tells of the use of spirit medium in ritual possession, or āveśa, and divination.","Date 720-774 from Lancaster (2004, 'K 1361')",Korean Canon,http://tripitaka.cbeta.org/T21n1277,2016-10-09
1278,21,1,迦樓羅及諸天密言經,Jialouluo Ji Zhutian Miyan Jing,Scripture of Mantras of Garuḍa and Gods,般若力,譯,Prajnabala,Translated,唐,Tang,618-907,"Advise on the medicine of Gāruḍas, including the treatment of snakebites.","This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞承安三年寫東寺三密藏本 Source: Tō-ji Sanmitsu Canon version, third year of the Jōan era [1171-1175].",Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1278,2016-10-09
1279,21,1,摩醯首羅天法要,Moxishouluo Tian Fa Yao ,Maheshvara Ritual Outline,,,,,,,,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞石山寺藏古寫本 Source: Ishiyama-dera collection old manuscript.,Ishiyama-dera,http://tripitaka.cbeta.org/T21n1279,2016-10-09
1280,21,1,摩醯首羅大自在天王神通化生伎藝天女念誦法,Moxishouluo Dazizaitian Wang Shentong Huasheng Ji Yi Tiannu Niansong Fa,Ritual Invoking Maheśvara’s Magical Transformation of Śṛīdevī,,,,,,,,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon version, Kyōhō era [1716-1736].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1280,2016-10-09
1281,21,1,那羅延天共阿修羅王鬪戰法,Naluoyantian Gong Axiuluo Wang Dou Zhan Fa ,Narayana and the King of the Asuras Battle Ritual,寶思惟,譯,Ratnacinta,Translated,唐,Tang,618-907,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞石山寺藏古寫本 Source: Ishiyama-dera collection old manuscript.,Ishiyama-dera,http://tripitaka.cbeta.org/T21n1281,2016-10-09
1282,21,1,寶藏天女陀羅尼法,Baozang Tian Nu Tuoluoni Fa ,Laksmi Dharani Sutra,,,,,,,,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,"This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon, published in the Kyōhō era [1716-1736].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1282,2016-10-09
1283,21,2,佛說寶藏神大明曼拏羅儀軌經,Fo Shuo Baozang Shen Da Ming Man Na Luo Yi Gui Jing,Jambhalajalendrayathālabdhakalpasūtra,法天,譯,Fa Tian,Translated,宋,Song,986-987,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,"Sanskrit title and date 986-987 from Lancaster (Lancaster 2004, 'K 1153')",Korean Canon,http://tripitaka.cbeta.org/T21n1283,2016-10-09
1284,21,2,佛說聖寶藏神儀軌經,Fo Shuo Sheng Baozang Shen Yi Gui Jing,Jambhalajalendrayathālabdhakalpasūtra,法天,譯,Fa Tian,Translated,宋,Song,986-987,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,"Sanskrit title and date 986-987 from Lancaster (2004, 'K 1154')",Korean Canon,http://tripitaka.cbeta.org/T21n1284,2016-10-09
1285,21,1,佛說寶賢陀羅尼經,Fo Shuo Bao Xian Tuoluoni Jing,Maṇibhadradhāraṇīsūtra,法賢,譯,Faxian,Translated,宋,Song,995-997,The yaksa king Manibhadra teaches a ritual for obtaining wealth.,"Sanskrit title and date 995-997 from Lancaster (2004, 'K 1238b')",Korean Canon,http://tripitaka.cbeta.org/T21n1285,2016-10-09
1286,21,1,堅牢地天儀軌,Jianlao Di Tian Yi Gui ,Prthivi Ritual Manual,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,"Describes offerings to the Earth Spirit Prthivi and Laksmi, including chanting, mantras, and homa. The ritual can increase longevity and wisdom with practice and has boundless merit.","This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon version, published in the Kyōhō era [1716-1736].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1286,2016-10-09
1287,21,1,大黑天神法,Da Hei Tian Shen Fa ,Mahakala Ritual,神愷,記,Shen Kai,Recorded,唐,Tang,618-907,"A ritual to Mahakala, the Black Lord.","This text does not appear in the Korean canon. A Taishō footnote for this text reads: ＜原＞享和二年刊長谷寺藏本, ＜甲＞承暦四年寫高山寺藏本, ＜乙＞天承四年寫高山寺藏本 Source: Hase-dera Canon version, published second year of the Kyōwa era [1801-1804].",Hase-dera,http://tripitaka.cbeta.org/T21n1287,2016-10-09
1288,21,3,佛說最上祕密那拏天經,Fo Shuo Zuishang Mimi Na Na Tian Jing,Śravanasyaputranadagupilāyakalparāja,法賢,譯,Faxian,Translated,宋,Song,998,A text in the 諸天等儀軌類 deva ritual manual group (1244–1330).,"Korean parallel from Lancaster (2004, 'K 1251')",Korean Canon,http://tripitaka.cbeta.org/T21n1288,2016-10-09
